"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 20 08:42:30 GMT 2022","Wed Jul 20 08:42:31 GMT 2022","1792","","WebsiteTest","","WebsiteTest","loginTest","loginTest()",""
"passed","Wed Jul 20 08:42:40 GMT 2022","Wed Jul 20 08:42:42 GMT 2022","2590","","WebsiteTest","","WebsiteTest","insertNewDataTest","insertNewDataTest()",""
"passed","Wed Jul 20 08:42:49 GMT 2022","Wed Jul 20 08:42:51 GMT 2022","1960","","WebsiteTest","","WebsiteTest","portfolioListComparisonTest","portfolioListComparisonTest()",""
"passed","Wed Jul 20 08:42:38 GMT 2022","Wed Jul 20 08:42:40 GMT 2022","1138","","WebsiteTest","","WebsiteTest","registrationTest","registrationTest()",""
"passed","Wed Jul 20 08:42:38 GMT 2022","Wed Jul 20 08:42:38 GMT 2022","644","","WebsiteTest","","WebsiteTest","isThereConditionsTest","isThereConditionsTest()",""
"passed","Wed Jul 20 08:42:42 GMT 2022","Wed Jul 20 08:42:47 GMT 2022","4505","","WebsiteTest","","WebsiteTest","makeRegistrationFromJsonTest","makeRegistrationFromJsonTest()",""
"passed","Wed Jul 20 08:42:27 GMT 2022","Wed Jul 20 08:42:30 GMT 2022","2991","","WebsiteTest","","WebsiteTest","modifyDataTest","modifyDataTest()",""
"passed","Wed Jul 20 08:42:31 GMT 2022","Wed Jul 20 08:42:34 GMT 2022","2221","","WebsiteTest","","WebsiteTest","portfolioPaginationTest","portfolioPaginationTest()",""
"passed","Wed Jul 20 08:42:34 GMT 2022","Wed Jul 20 08:42:36 GMT 2022","2083","","WebsiteTest","","WebsiteTest","saveDataToFileTest","saveDataToFileTest()",""
"passed","Wed Jul 20 08:42:36 GMT 2022","Wed Jul 20 08:42:38 GMT 2022","1946","","WebsiteTest","","WebsiteTest","logoutTest","logoutTest()",""
"passed","Wed Jul 20 08:42:47 GMT 2022","Wed Jul 20 08:42:49 GMT 2022","2000","","WebsiteTest","","WebsiteTest","deleteUserTest","deleteUserTest()",""
